,date,district,street,crime
150,21.02.2025,Löbnitz,Döbener Weg,Einbruch in Einfamilienhaus
151,polizeibekannt: 21.02.2025,Leipzig (Grünau-Mitte),Mannheimer Straße,Graffiti an Wahllokal
152,21.02.2025,Leipzig (Zentrum),Augustusplatz,Verfassungswidriger Gruß in Oper
153,04.02.2025,Wermsdorf und Leipzig,,Bärlauchdiebstahl
154,03.02.2025,Leipzig (Volkmarsdorf),,Einbruch in Autohaus
155,03.02.2025,Leipzig (Grünau-Mitte),,Einbruch in Bäckerei
156,03.02.2025,Löbnitz,Bitterfelder Straße,Wohnmobil entwendet
157,04.02.2025,Brandis,,Einbruch in Getränkemarkt
158,03.02.2025,Leipzig (Lützschena-Stahmeln),Hallesche Straße,Verkehrskontrolle deckt Handel mit Betäubungsmitteln auf
159,03.02.2025,"Leipzig (Zentrum-Nordwest),Pfaffendorfer Straße",,Alkoholisierter Fußgänger
160,04.02.2025,Wiedemar,S2/Carl-Friedrich-Benz-Straße,Verkehrsunfall zwischen Bus und Pkw
161,10.03.2025,Leipzig (Seehausen),Messe-Allee,Bundespolizei schnappt mutmaßlichen Drogenhändler
162,09.03.2025,Leipzig (Zentrum-Nordwest),Am Sportforum,Drei Graffitisprayer gestellt
163,11.03.2025,Machern (Gerichshain),Leipziger Straße,Verkehrsunfall mit verletzter Frau
164,20.03.2025,Leipzig (Grünau),Parkallee,Zeugen verfolgen Handtaschenräuber
165,20.03.2025,Leipzig (Lindenthal),Triftsiedlung,Tatverdächtige bei Einbruch überrascht
166,21.03.2025,Leipzig (Zentrum),,Tatverdächtiger nach Einbruch in Fahrzeuge gestellt
167,19.03.2015,Markkleeberg,Am Wolfswinkel,Diebstahl eines Hyundai Ioniq 5
168,20.03.2025,Leipzig (Plagwitz),,Einbruch in Geschäft
169,20.03.2025,Leipzig (Neustadt-Neuschönefeld),Reclamstraße,Graffitisprayer gestellt
170,21.03.2025,Leipzig (Plagwitz),Erich-Zeigner-Allee,Brand in Mehrfamilienhaus
171,19.03.2025,Leipzig (Eutritzsch),Buschenaustraße,Diebstahl aus Transporter
172,08.03.2025,Brandis (Beucha),Albert-Kuntz-Straße,Tatverdächtige nach Automatensprengung gestellt
173,06.03.2025,Leipzig,,Lastkraftwagen mit mehr als 60 Mängeln
174,07.03.2025,Rackwitz (Zschortau),Schmiedestraße,Brand einer Gartenlaube
175,07.03.2025,Rackwitz (Podelwitz),B 184 / Podelwitzer Straße,Verkehrsunfall mit zwei verletzten Personen
176,08.03.2025,Schkeuditz (Dölzig),Merseburger Chaussee,Enforcement Trailer aufgesprengt
177,08.03.2025,Leipzig (Heiterblick),Paunsdorfer Allee,Fahrkartenautomat aufgebrochen
178,08.03.2025,Leipzig (Neustadt-Neuschönefeld),Mariannenstraße,Brand in einem Mehrfamilienhaus
179,08.03.2025,Brandis (Beucha),Brandiser Straße,Brand in Beucha
180,15.03.2025,Leipzig (Südvorstadt),,Drogenfund nach Auseinandersetzung
181,14.03.2025,Leipzig (Zentrum-Süd),,Beschädigte Fahrzeuge und beschmierte Hausfassade
182,15.03.2025,Leipzig (Sellerhausen-Stünz),Theodor-Heuss-Straße,Schwerverletzter nach möglichem Verkehrsunfall - Zeugenaufruf
183,15.03.2025,Leipzig (Kleinzschocher),,Brand eines Wohnwagens
184,15.03.2025,Leipzig (Connewitz),Meusdorfer Straße,Einbruch in Geschäft
185,25.02.2025,Delitzsch,August-Bebel-Straße,Sachbeschädigung
186,26.02.2025,Leipzig,,Gemeinschaftsunterkunft beschädigt
187,26.02.2025,Rackwitz,Kölner Straße,Verkehrsunfall mit mehreren Verletzten
188,26.02.2025,Leipzig,"BAB 14 km 86,75 i.R Magdeburg",Betrunkener Lkw-Fahrer
189,21.02.2025,Wurzen,,Schwere Brandstiftung Kirche - Tatverdächtiger in Untersuchungshaft
190,21.02.2025,Leipzig (Lindenau),Endersstraße,Zigarettenautomat gesprengt
191,21.02.2025,Mockrehna (Langenreichenbach),K8985 zwischen Schildau und Langenreichenbach,Unfall beim Überholen
192,16.03.2025,Zschepplin,Siedlung der Einheit,Garagenbrand - Person verletzt
193,16.03.2025,Torgau,Sindelfinger Straße,Wohnungsbrand
194, 17.03.2025,Grimma (Förstgen),,Gesprengter Zigarettenautomat
195,16.03.2025,Leipzig (Zentrum-Süd),,Polizeiwache mit Pflastersteinen beworfen
196,16.03.2025,Taucha (Pönitz),,Verfolgungsfahrt unter Drogeneinfluss und ohne Fahrerlaubnis
197,Zeit:: 17.03.2025,Leipzig. (Lausen-Grünau) Zingster Straße,,Kellerbrand in Mehrfamilienhaus
198,13.02.2025,Leipzig (Stötteritz),Rudolph-Herrmann-Straße,Herbeiführen einer Sprengstoffexplosion
199,12.02.2025,Beilrode (Zwethau),,Brand einer Werkstatt
200,11.02.2025,Delitzsch,,Diebstahl von zwei Quads
201,12.02.2025,Leipzig (Wahren),Auwald,Bärlauchentnahme - Sammler gestellt
202,13.02.2025,Leipzig,,Verkehrsunfall unter Alkoholeinfluss
203,05.02.2025,Leipzig (Paunsdorf),Hainbuchenstraße,Raub von hochwertigen Fahrrädern
204,06.02.2025,Leipzig (Zentrum-Nordwest),Fußgängerüberweg Waldstraße/ Feuerbachstraße,Kind von Fahrzeug erfasst - Zeugenaufruf
205,06.03.2025,Leipzig (Volkmarsdorf),Eisenbahnstraße,Durchsuchungsmaßnahmen in Lokal
206,05.03.2025,Frohburg,,Simsonfahrer nach Flucht gestellt
207,06.03.2025,Leipzig (Altlindenau),Jahnallee,Kleintransporter fuhr ins Gleisbett
208,06.03.2025,Wurzen (Kühren),Alte Bahnhofsstraße,Gesprengter Fahrkartenautomat
209,05.03.2025,Leipzig (Neulindenau),Saalfelder Straße,Einbruch in Büroräume
210,05.03.2025,Leipzig (Lützschena-Stahmeln),Hallesche Straße,nbruch in Firmenräume
211,05.03.2025,Leipzig (Kleinzschocher),,Einbruch in Lieferdienst
212,06.03.2025,Leipzig (Dölitz-Dösen),,Einbruch in Einfamilienhaus
213,05.03.2025,Leipzig (Grünau-Mitte),,Sachbeschädigung an Wahlkreisbüro
214,06.03.2025,Schkeuditz (Dölzig),B186,Verkehrsunfall mit zwei verletzten Personen
215,06.03.2025,Rackwitz (Brodenaundorf),B184,Verkehrsunfall mit verletztem Motorradfahrer
216,02.03.2025,Otterwisch (Großbuch),,Leichenfund nach Scheunenbrand in Otterwisch
217,05.03.2025,Leipzig (Zentrum),Brühl,Versuchter Raub einer Geldbörse
218,05.03.2025,Leipzig (Gohlis-Süd),Lindenthaler Straße,Raubdelikt
219,04.03.2025,Torgau (Beckwitz),,Diebstahl eines Radladers
220,05.03.2025,Leipzig (Burghausen-Rückmarsdorf),An der Vogelweide,Brand auf einem Dachboden
221,05.03.2025,Leipzig (Probstheida),Prager Straße,Fahrkartenautomat aufgebrochen
222,05.03.2025,Markkleeberg,Am Auenwald,Hyundai gestohlen
223,09.02.2025,Leipzig (Zentrum),Petersstraße,Tatverdächtiger nach Einbruch gestellt
224,09.02.2025,Borsdorf,Bahnhofstraße,Fahrkartenautomat gesprengt
225,09.02.2025,Leipzig (Lindenau),Aurelienstraße,Radfahrerin schwer verletzt
226,01.02.2025,Mockrehna,,Zeugenaufruf nach Flucht eines SUV
227,09.02.2025,Leipzig,,Tatverdächtiger nach Einbruch in Baumarkt gestellt
228,10.03.2025,Borna,,Tatverdächtige bei Einbruch in Juweliergeschäft gestellt
229,10.03.2025,Leipzig (Südvorstadt),Karl-Liebknecht-Straße,Einbruch in Fachgeschäft
230,Ergebnis: Tatzeit: 10.03.2025,Leipzig (Zentrum-Südost),,Einbruch in Museum
231,11.03.2025,Leipzig (Grünau-Nord),Titaniaweg,Brand in Mehrfamilienhaus
232,10.03.2025 14:04,Wurzen,Dresdener Straße,Betrunkener Lkw-Fahrer
233,10.03.2025,Leipzig (Gohlis-Nord),Slevogtstraße,Schüler beraubt - Zeugen gesucht
